échantillon,cellule,modèle,n,justesse,justesse_ic_bas,justesse_ic_haut,d_justesse_vs_marché,d_justesse_ic_bas,d_justesse_ic_haut,auc,auc_ic_bas,auc_ic_haut,brier,brier_ic_bas,brier_ic_haut,d_brier_vs_marché,d_brier_ic_bas,d_brier_ic_haut,logloss,p_moyen,p_sd
1re moitié (validation),Tous,hgb_ind,749,0.480641,0.441341,0.522263,-0.0373832,-0.0775497,0.00257562,0.490669,0.443865,0.534206,0.25167,0.247994,0.255235,0.00154424,-0.00144143,0.00435205,0.696509,0.492114,0.0440619
1re moitié (validation),Tous,logit_ind1s,749,0.510013,0.47304,0.546208,-0.00801068,-0.0541945,0.0391433,0.493121,0.446579,0.534696,0.254637,0.24926,0.260046,0.00451178,-0.000468116,0.00946023,0.702987,0.479076,0.0606973
1re moitié (validation),Tous,hgb_ind1s,749,0.489987,0.450259,0.529012,-0.0280374,-0.0759677,0.0182768,0.483283,0.437596,0.526308,0.253679,0.249323,0.258148,0.00355363,-0.000426033,0.00760159,0.700679,0.482719,0.0525367
1re moitié (validation),Tous,logit_tw,749,0.522029,0.483658,0.559098,0.00400534,-0.0479966,0.054322,0.509028,0.466769,0.552301,0.2533,0.248794,0.25782,0.00317482,-0.00141038,0.00788899,0.700268,0.491638,0.0563177
1re moitié (validation),Tous,hgb_tw,749,0.492657,0.454907,0.529434,-0.0253672,-0.0760465,0.0242277,0.486171,0.441461,0.527476,0.253872,0.25024,0.257567,0.0037467,-0.000330168,0.00787251,0.701215,0.492513,0.0488534
1re moitié (validation),Tous 5m,market,374,0.5,0.44875,0.550809,0,0,0,0.513295,0.457175,0.575441,0.250002,0.247443,0.252875,0,0,0,0.693202,0.502353,0.0257834
1re moitié (validation),Tous 5m,timesfm,374,0.489305,0.438685,0.541339,-0.0106952,-0.0796965,0.0582506,0.47619,0.4312,0.52617,0.262814,0.252728,0.272624,0.0128122,0.00304226,0.0223265,0.720438,0.497493,0.095849
1re moitié (validation),Tous 5m,timesfm_cal,374,0.529412,0.474071,0.580313,0.0294118,-0.0453394,0.106391,0.502348,0.467772,0.533973,0.249678,0.247411,0.251982,-0.000324187,-0.00365892,0.00286686,0.692505,0.49184,0.0200892
1re moitié (validation),Tous 5m,logit_ind,374,0.44385,0.394022,0.494916,-0.0561497,-0.114462,6.56168e-05,0.465215,0.405962,0.520287,0.252319,0.248011,0.256532,0.00231732,-0.00204366,0.00648506,0.697793,0.492498,0.0410779
1re moitié (validation),Tous 5m,hgb_ind,374,0.475936,0.425197,0.528209,-0.0240642,-0.0826452,0.0344851,0.475586,0.413674,0.53559,0.25216,0.247639,0.256904,0.00215803,-0.0021135,0.00653397,0.697488,0.490979,0.0427174
1re moitié (validation),Tous 5m,logit_ind1s,374,0.510695,0.458558,0.559156,0.0106952,-0.0626825,0.083558,0.470746,0.411996,0.523143,0.256589,0.249249,0.264126,0.00658716,-0.000565762,0.0139215,0.70719,0.476202,0.0666386
1re moitié (validation),Tous 5m,hgb_ind1s,374,0.462567,0.410703,0.513307,-0.0374332,-0.105699,0.0325203,0.461326,0.396114,0.516975,0.256856,0.250828,0.263472,0.00685387,0.00104462,0.0130525,0.707144,0.484405,0.0568406
1re moitié (validation),Tous 5m,logit_tw,374,0.510695,0.461938,0.560224,0.0106952,-0.064795,0.0829066,0.472849,0.413868,0.532625,0.258538,0.251698,0.265684,0.0085361,0.00105745,0.0157813,0.711248,0.488095,0.0643091
1re moitié (validation),Tous 5m,hgb_tw,374,0.462567,0.411757,0.5124,-0.0374332,-0.109921,0.0344874,0.458675,0.40204,0.520291,0.257726,0.251617,0.264021,0.00772394,0.00110346,0.0143849,0.709237,0.4899,0.0595453
1re moitié (validation),Tous 15m,market,375,0.536,0.484448,0.587441,0,0,0,0.516401,0.454266,0.569096,0.250249,0.247845,0.252741,0,0,0,0.693662,0.49744,0.0237061
1re moitié (validation),Tous 15m,timesfm,375,0.536,0.484611,0.588239,0,-0.064995,0.0675721,0.540768,0.479103,0.599852,0.252833,0.241419,0.264506,0.00258492,-0.00905351,0.0143247,0.699417,0.503567,0.116066
