ticker,model,horizon,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,bss,acc_w,up_rate,p_binom
XRPUSDT,hgb,15,86255,28751.666666666668,0.5230421424844937,0.5211337733592265,0.5300564328390537,0.2492087316009432,0.6915613904867501,0.0029912223248615977,0.5140306422443581,0.4933974842038143,2.8651103174996703e-15
XRPUSDT,reversal_h,5,85156,85156.0,0.5160646343181925,0.5159748452148416,0.5163610515759148,0.24975511766640046,0.6926573621734415,0.0008344847053862736,0.5083637424986538,0.49397576213067784,3.519213087296692e-21
XRPUSDT,reversal_h,10,85978,42989.0,0.5148061131917467,0.5147737882119368,0.5149556337769515,0.24980902556467932,0.6927652374762555,0.0005737262274982946,0.505145681879747,0.49310288678499153,4.2486144339948394e-10
XRPUSDT,reversal_h,15,86255,28751.666666666668,0.5190307808243,0.5190240705182629,0.5191817759508616,0.24964195930670685,0.6924309272538736,0.0012580092764918893,0.5054315045707966,0.4933974842038143,5.4934482060332893e-11
XRPUSDT,momentum_h,5,85156,85156.0,0.48436986237023816,0.4841287281751042,0.48363894842408517,0.2510229085443187,0.6951942975392511,-0.004237415072511297,0.4919828257337951,0.49397576213067784,1.0
XRPUSDT,momentum_h,10,85978,42989.0,0.4856242294540464,0.48540357584151134,0.4850443662230485,0.2509763009141873,0.6951010344656354,-0.00409626377942085,0.49569161710324033,0.49310288678499153,0.9999999988233721
XRPUSDT,momentum_h,15,86255,28751.666666666668,0.4814329604080923,0.4812388586237546,0.48081822404913843,0.2511458721233552,0.6954403586026102,-0.0047586911393568965,0.4955691902120359,0.4933974842038143,0.9999999998505201
XRPUSDT,always_up,5,85156,85156.0,0.49397576213067784,0.5,0.5,0.2506409695147729,0.6944300175541621,-0.002709437144239102,0.4985300504301943,0.49397576213067784,0.9997837315403354
XRPUSDT,always_up,10,85978,42989.0,0.49310288678499153,0.5,0.5,0.25067588452860035,0.6944998848602922,-0.002894369539816477,0.49792445208375685,0.49310288678499153,0.9979144853044409
XRPUSDT,always_up,15,86255,28751.666666666668,0.4933974842038143,0.5,0.5,0.2506641006318474,0.694476304485216,-0.002831269083230614,0.49747826070609813,0.4933974842038143,0.9874903591825781
XRPUSDT,majority_prev_day,5,85156,85156.0,0.503851754427169,0.5021144582628208,0.5021144582628208,0.2502459298229132,0.693639516389788,-0.0011290489585362717,0.501696640208089,0.49397576213067784,0.012397504012872105
XRPUSDT,majority_prev_day,10,85978,42989.0,0.5053036823373421,0.5034933113408748,0.5036721374803681,0.2501820558747587,0.6935116981939538,-0.0009186789887027924,0.5022443077595561,0.49310288678499153,0.014273776679998091
XRPUSDT,majority_prev_day,15,86255,28751.666666666668,0.5084111066025158,0.5068091812113091,0.5067914803657715,0.250065225204336,0.6932779113926267,-0.0004353495898521409,0.5062606932600662,0.4933974842038143,0.002236729163649993
BNBUSDT,logit,5,86897,86897.0,0.5141144113145448,0.5137147967287254,0.5189387274830637,0.2505955817197053,0.6944026349140273,-0.0024036731404519784,0.5053738799937941,0.5023073293669517,4.453124381197245e-17
BNBUSDT,logit,10,87125,43562.5,0.5157073170731707,0.5156495646432152,0.5223884635780863,0.2506920427324627,0.6946102598356585,-0.0027685705436810704,0.5075992893223934,0.5003156384505022,2.874493488827434e-11
BNBUSDT,logit,15,87239,29079.666666666668,0.5163745572507709,0.5158401718058019,0.5239426512340415,0.25132313058043,0.6959601423178434,-0.005306303364879694,0.5085068540237628,0.5018512362590126,1.1805260552340334e-08
BNBUSDT,hgb,5,86897,86897.0,0.5121005328147117,0.5114082078640368,0.5165141856962115,0.2499869201091002,0.6931270039516956,3.1025149051622236e-05,0.5024629951171813,0.5023073293669517,4.981730972132847e-13
BNBUSDT,hgb,10,87125,43562.5,0.5181979913916787,0.5181289874616815,0.5243485667698262,0.2497531731552907,0.6926606292978161,0.0009869092616052733,0.5073114488731234,0.5003156384505022,1.5400673676361554e-14
BNBUSDT,hgb,15,87239,29079.666666666668,0.5177959398892698,0.5173701383848094,0.5215359225515397,0.24978737017680464,0.6927270590090493,0.0008368224614503372,0.5059908483553756,0.5018512362590126,6.629553157677149e-10
