market,t_event,t_prev,t0,dP,p_prev,p_event,mid0,phase,delay_first_ms,delay_ask_ms,delay_bid_ms,delay_placebo_ms,delay_50_ms,delay_90_ms,censored_50,censored_90,jump,asset,duration
eth-updown-5m-1790419200,1790419398.2,1790419397.2,1790419398.1824725,-0.09071148960413378,0.6945358739551265,0.6038243843509927,0.605,3,154.15453910827637,161.3903045654297,154.15453910827637,1182.3604106903076,356.93979263305664,421.93102836608887,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419407.2,1790419406.2,1790419407.1258898,-0.2168491044682287,0.5890475025587639,0.37219839809053523,0.425,3,94.97666358947754,94.97666358947754,163.5129451751709,1310.1890087127686,213.85693550109863,11228.044271469116,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419449.0,1790419448.0,1790419448.998147,0.08210761984308212,0.2866725782014893,0.3687801980445714,0.425,4,74.63717460632324,74.63717460632324,79.77867126464844,6.25920295715332,-66.9257640838623,79.77867126464844,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419474.0,1790419473.0,1790419473.9788878,0.32391244870411734,0.23932950913189438,0.5632419578360117,0.11499999999999999,4,69.81420516967773,69.81420516967773,569.2522525787354,145.81775665283203,576.9872665405273,576.9872665405273,False,False,0.05,eth,5m
eth-updown-5m-1790419200,1790419482.8,1790419481.8,1790419482.7964413,0.11806187564433746,0.688857213855192,0.8069190894995295,0.985,4,635.4868412017822,,635.4868412017822,724.7066497802734,,,True,True,0.05,eth,5m
eth-updown-5m-1790419200,1790419175.4,1790419174.4,1790419175.2902067,0.12368629421677424,0.5195495359744281,0.6432358301912023,0.5,2,249.57776069641113,332.5378894805908,249.57776069641113,,500.1206398010254,676.5148639678955,False,False,0.1,eth,5m
eth-updown-5m-1790419200,1790419199.2,1790419198.2,1790419199.1949294,-0.11032393360011161,0.6373665231926773,0.5270425895925657,0.79,2,808.4766864776611,808.4766864776611,,2867.1605587005615,-132.83944129943848,808.4766864776611,False,False,0.1,eth,5m
eth-updown-5m-1790419200,1790419304.9,1790419303.9,1790419304.8209991,0.12250464829633734,0.6223629314338966,0.744867579730234,0.765,3,118.52192878723145,118.52192878723145,139.26982879638672,2753.5786628723145,118.52192878723145,236.60778999328613,False,False,0.1,eth,5m
eth-updown-5m-1790419200,1790419344.2,1790419343.2,1790419344.0723372,-0.13107896252191775,0.7761649192775244,0.6450859567556066,0.905,3,223.86455535888672,224.69162940979004,223.86455535888672,,231.13298416137695,231.13298416137695,False,False,0.1,eth,5m
eth-updown-5m-1790419200,1790419398.4,1790419397.4,1790419398.1855922,-0.11125919157148567,0.6948157293708254,0.5835565377993397,0.605,3,151.03483200073242,158.27059745788574,151.03483200073242,1179.2407035827637,353.8200855255127,420.7797050476074,False,False,0.1,eth,5m
eth-updown-5m-1790419200,1790419407.2,1790419406.2,1790419407.1258898,-0.2168491044682287,0.5890475025587639,0.37219839809053523,0.425,3,94.97666358947754,94.97666358947754,163.5129451751709,1310.1890087127686,213.85693550109863,11228.044271469116,False,False,0.1,eth,5m
eth-updown-5m-1790419200,1790419474.0,1790419473.0,1790419473.9788878,0.32391244870411734,0.23932950913189438,0.5632419578360117,0.11499999999999999,4,69.81420516967773,69.81420516967773,569.2522525787354,145.81775665283203,576.9872665405273,576.9872665405273,False,False,0.1,eth,5m
eth-updown-5m-1790419200,1790419482.8,1790419481.8,1790419482.7964413,0.11806187564433746,0.688857213855192,0.8069190894995295,0.985,4,635.4868412017822,,635.4868412017822,724.7066497802734,,,True,True,0.1,eth,5m
