lag_ms,corr,n,asset,horloge,horizon_s
2300,0.10738236259551714,3403,btc,serveur,1.0
2400,0.10329145294268174,3403,btc,serveur,1.0
2500,0.09959905470362541,3403,btc,serveur,1.0
2600,0.09654825222032642,3403,btc,serveur,1.0
2700,0.09842808719038847,3402,btc,serveur,1.0
2800,0.07923463428043265,3402,btc,serveur,1.0
2900,0.07992012694545711,3402,btc,serveur,1.0
3000,0.07866834805453167,3402,btc,serveur,1.0
3100,0.0715766745867409,3402,btc,serveur,1.0
3200,0.06984672379892223,3402,btc,serveur,1.0
3300,0.06662925672289394,3402,btc,serveur,1.0
3400,0.06532449197657401,3402,btc,serveur,1.0
3500,0.0681328732881771,3402,btc,serveur,1.0
3600,0.05611992502522917,3402,btc,serveur,1.0
3700,0.04939359573821352,3401,btc,serveur,1.0
3800,0.046689702113678025,3401,btc,serveur,1.0
3900,0.053224089412720846,3401,btc,serveur,1.0
4000,0.04325133348273941,3401,btc,serveur,1.0
4100,0.045286840876040145,3401,btc,serveur,1.0
4200,0.04325589897348949,3401,btc,serveur,1.0
4300,0.04709346695951937,3401,btc,serveur,1.0
4400,0.04219866313205309,3401,btc,serveur,1.0
4500,0.03457581441159178,3401,btc,serveur,1.0
4600,0.033011398661571933,3401,btc,serveur,1.0
4700,0.02952779724796529,3400,btc,serveur,1.0
4800,0.02598154792913208,3400,btc,serveur,1.0
4900,0.022792717560224527,3400,btc,serveur,1.0
5000,0.024065194937014804,3400,btc,serveur,1.0
5100,0.02394828717269128,3400,btc,serveur,1.0
5200,0.02921332854946436,3400,btc,serveur,1.0
5300,0.03714953225879361,3400,btc,serveur,1.0
5400,0.03399698551900961,3400,btc,serveur,1.0
5500,0.03352573935878553,3400,btc,serveur,1.0
5600,0.03488477439809284,3400,btc,serveur,1.0
5700,0.041331455765817454,3399,btc,serveur,1.0
5800,0.03720079530453921,3399,btc,serveur,1.0
5900,0.030631736331371964,3399,btc,serveur,1.0
6000,0.037519377907153484,3399,btc,serveur,1.0
6100,0.04044376331203294,3399,btc,serveur,1.0
6200,0.04438785747683464,3399,btc,serveur,1.0
6300,0.038895902020943125,3399,btc,serveur,1.0
6400,0.05226242433745642,3399,btc,serveur,1.0
6500,0.05597933519474861,3399,btc,serveur,1.0
6600,0.05346149010455657,3399,btc,serveur,1.0
6700,0.049337858439523645,3398,btc,serveur,1.0
6800,0.04726366033271323,3398,btc,serveur,1.0
6900,0.04605771504080296,3398,btc,serveur,1.0
7000,0.05644687982343146,3398,btc,serveur,1.0
7100,0.05330804290498552,3398,btc,serveur,1.0
7200,0.050405865847943716,3398,btc,serveur,1.0
7300,0.04431918747335913,3398,btc,serveur,1.0
7400,0.061813341553880276,3398,btc,serveur,1.0
7500,0.05885772254981838,3398,btc,serveur,1.0
7600,0.049368613206839156,3398,btc,serveur,1.0
7700,0.05880754460503274,3397,btc,serveur,1.0
7800,0.0606474532449628,3397,btc,serveur,1.0
7900,0.057261237067638956,3397,btc,serveur,1.0
