latency_ms,n_opp,n_filled,fill_rate,shares,total,per_opp,per_share,n_groups,margin,trigger,valeur,per_opp_lo,per_opp_hi,per_hour,per_hour_lo,per_hour_hi,hours,mean_edge_fill_c,edge_per_hour
5000,212,66,0.3113207547169811,2474.8599999999997,272.52349839,1.28548819995283,0.11011673322531376,20,0.0,saut,pnl,-2.044481132917646,4.514682578992454,317.50310492038835,-472.5590622480582,1169.7390904706783,0.8583333333333333,4.848245076122186,141.36012631546055
0,212,212,1.0,5447.91,319.72206399999993,1.508122943396226,0.058687104596074444,20,0.0,saut,markout,0.8489783818485995,2.0895832852379623,372.4917250485436,179.71593728009705,583.3668008146601,0.8583333333333333,3.808927121794825,223.77539927481732
25,212,186,0.8773584905660378,5169.73,284.92340401999996,1.3439783208490563,0.05511378815141216,20,0.0,saut,markout,0.6352477399433873,2.0610993557448865,331.94959691650485,142.55277365330085,538.1908220338835,0.8583333333333333,3.5739106664645566,203.47949993549236
50,212,178,0.839622641509434,4942.99,293.49739368999997,1.3844216683490564,0.059376489470947744,20,0.0,saut,markout,0.7649147345735283,2.0058263971787147,341.9387110951456,169.2931149474757,526.4845178994174,0.8583333333333333,3.527752704428513,193.91314564236387
100,212,151,0.7122641509433962,4196.639999999999,159.0674209,0.7503180231132076,0.037903518266994556,20,0.0,saut,markout,0.08998803573501475,1.3604720531297616,185.32126706796117,18.654373843398034,357.97161175893206,0.8583333333333333,3.4425583853026374,137.7644992450951
150,212,134,0.6320754716981132,3828.4400000000005,126.39698339,0.5962121858018868,0.03301527081265476,20,0.0,saut,markout,-0.10239432088603105,1.2803408241291825,147.25862142524272,-24.92296689844661,319.13265822961137,0.8583333333333333,3.3588419492024966,130.86652345198834
200,212,118,0.5566037735849056,3219.9300000000003,95.90726805,0.4523927738207547,0.029785513365197375,20,0.0,saut,markout,-0.2537564892065677,1.1804055967536164,111.7366229708738,-60.20820702873785,303.9451947314561,0.8583333333333333,3.0123405482062804,101.4099771871356
300,212,98,0.46226415094339623,2933.5599999999995,-3.5575206600000087,-0.01678075783018872,-0.0012126974256534754,20,0.0,saut,markout,-0.725982761084363,0.6992037366917849,-4.14468426407768,-179.47913042563098,168.36664310504835,0.8583333333333333,2.5583576898440006,83.06337114490448
500,212,69,0.32547169811320753,2194.2,46.27259667,0.2182669654245283,0.02108859569319114,20,0.0,saut,markout,-0.37382626606875063,1.0110366476939832,53.9098213631068,-88.6216682207767,260.7073781210678,0.8583333333333333,2.5363343255551682,61.56466599899098
750,212,64,0.3018867924528302,2322.65,16.256985,0.07668389150943396,0.006999326200675952,20,0.0,saut,markout,-0.6043221387605896,1.0250093259494921,18.940176699029127,-147.56281863145628,259.43708601203787,0.8583333333333333,2.6124358930836227,64.06977807258909
1000,212,67,0.3160377358490566,2329.72,-32.48881672,-0.15324913547169813,-0.013945374002025997,20,0.0,saut,markout,-0.8361502428053854,0.7143464357582004,-37.85104860582525,-207.94282136621362,178.77900657203872,0.8583333333333333,2.8276592947795804,77.84089131356653
2000,212,65,0.30660377358490565,2562.77,-67.58851365000002,-0.3188137436320756,-0.0263732264893065,20,0.0,saut,markout,-0.9620327189677301,0.4453666293214263,-78.74389939805829,-251.59158015611655,96.94297859446584,0.8583333333333333,4.0225758430339775,123.72958111934017
5000,212,66,0.3113207547169811,2474.8599999999997,-140.06825161,-0.6606993000471698,-0.05659643438820783,20,0.0,saut,markout,-1.3041345883296989,-0.029581294893940138,-163.1863125553398,-345.001690664563,-5.774394915436898,0.8583333333333333,4.848245076122186,141.36012631546055
0,1006,1006,1.0,21408.379999999997,-1597.3319858700002,-1.587805154940358,-0.07461246417851329,21,0.01,carnet,pnl,-3.519339055564784,0.09522759289123794,-1860.9693039262138,-3966.3928842748537,108.82679595058202,0.8583333333333333,4.163126317744517,1039.3599036399057
25,1006,986,0.9801192842942346,33204.8,-2297.56283375,-2.283859675695825,-0.06919369590390546,21,0.01,carnet,pnl,-5.095593804810233,0.3187758304770074,-2676.772233495146,-5909.85911682029,377.20581889718534,0.8583333333333333,4.526615495656973,1606.3100499417444
50,1006,974,0.9681908548707754,35428.39,-2329.7998553200005,-2.3159044287475155,-0.0657608165462783,21,0.01,carnet,pnl,-5.134359367943858,0.4824961447555582,-2714.329928528156,-5954.8116679232035,539.3416817059219,0.8583333333333333,4.721143766123805,1805.95601019155
100,1006,952,0.9463220675944334,37604.399999999994,-2353.74783358,-2.3397095761232607,-0.06259235178808864,21,0.01,carnet,pnl,-5.472161935447578,0.653825314500669,-2742.230485724272,-6382.939570463885,819.1926678923302,0.8583333333333333,4.985073927392168,2126.137426306897
150,1006,938,0.9324055666003976,37624.58,-2813.9043635600005,-2.7971216337574556,-0.07478899069597589,21,0.01,carnet,pnl,-5.922721776705131,0.30743043084343286,-3278.3351808466027,-7054.6576316898045,332.3627825149504,0.8583333333333333,5.109417431752205,2221.496965012091
200,1006,929,0.9234592445328031,37416.33,-2695.34720105,-2.679271571620278,-0.07203665354271784,21,0.01,carnet,pnl,-5.752069328866406,0.316670628547698,-3140.2103313203884,-6770.870597102911,314.5667389435925,0.8583333333333333,5.230710792501668,2226.2282486089716
300,1006,916,0.9105367793240556,37539.369999999995,-2561.3866501200005,-2.546109990178927,-0.06823200949083591,21,0.01,carnet,pnl,-5.777214990972935,0.47778058271189505,-2984.1397865475737,-6629.582844178253,553.065568901649,0.8583333333333333,5.383186271103973,2351.2060627556016
500,1006,885,0.8797216699801192,35811.44,-2235.1418573600004,-2.221810991411531,-0.06241418544911906,21,0.01,carnet,pnl,-5.362866925498165,0.7910627138322147,-2604.048765856311,-6191.800289911163,960.2349729600003,0.8583333333333333,5.697398087736798,2442.6736577365814
750,1006,867,0.8618290258449304,35593.19,-3232.67473695,-3.213394370725646,-0.09082284383473355,21,0.01,carnet,pnl,-6.140115571303696,-0.2372948344975875,-3766.2229945048543,-7351.426602069609,-266.8211787069899,0.8583333333333333,5.7603371686324705,2390.3771178758293
1000,1006,837,0.8320079522862823,34535.27,-2443.2890539400005,-2.428716753419484,-0.07074764592661359,21,0.01,carnet,pnl,-5.511054088991653,0.6193924065505759,-2846.550354104855,-6396.407036558446,757.1805460403878,0.8583333333333333,5.874862071125474,2361.6627785165674
2000,1006,794,0.7892644135188867,32838.03999999999,-2542.31470526,-2.527151794493042,-0.07741980657980807,21,0.01,carnet,pnl,-5.1873850200621145,0.07177793088937354,-2961.920044963107,-6001.363661521753,87.01235692922226,0.8583333333333333,6.752038942564992,2489.7030006831305
5000,1006,727,0.7226640159045725,29126.11,-941.0849642699998,-0.9354721314811131,-0.032310698691655,21,0.01,carnet,pnl,-3.057057726426338,0.8833493680845262,-1096.4096671106795,-3205.200137281748,1118.6103117212601,0.8583333333333333,8.719174433228934,2891.0714927404283
0,1017,1017,1.0,21609.59,-663.2546320200001,-0.652167779764012,-0.030692606015199738,22,0.01,carnet,markout,-1.015584648233014,-0.26148037194180007,-772.7238431300973,-1289.5670531429128,-277.7191901868935,0.8583333333333333,4.145814092257866,1044.8516043803088
25,1017,997,0.9803343166175025,33562.11,-928.2814723800001,-0.9127644762831859,-0.027658614800440143,22,0.01,carnet,markout,-1.379588920996849,-0.4172711148494004,-1081.4929775300973,-1723.533119242136,-432.3773433023303,0.8583333333333333,4.504944167395227,1615.2287755228665
50,1017,985,0.9685349065880039,35868.71000000001,-884.1447193200001,-0.869365505722714,-0.024649470787212586,22,0.01,carnet,markout,-1.4215695781460034,-0.2846708511424577,-1030.0715176543692,-1729.59415735136,-314.35249572611696,0.8583333333333333,4.69396688769528,1817.1424149536206
