margin,trigger,latency_ms,hour,n_opp,n_filled,shares,pnl,markout,n_markets
0.01,persistante,150,2026-09-26 11:00:00+00:00,1727,1682,69214.14,-4208.421828910001,-2328.9451789100003,11
0.01,persistante,200,2026-09-26 10:00:00+00:00,2009,1939,75592.24,847.2279994399998,-882.25460056,11
0.01,persistante,200,2026-09-26 11:00:00+00:00,1727,1671,70448.68,-3962.6095976900015,-2233.4388476900003,11
0.01,persistante,300,2026-09-26 10:00:00+00:00,2009,1922,76193.57,1429.3651204999987,-534.9372295,11
0.01,persistante,300,2026-09-26 11:00:00+00:00,1727,1662,70440.66,-3865.16838565,-2419.66683565,11
0.01,persistante,500,2026-09-26 10:00:00+00:00,2009,1908,74963.14,985.7767526099994,-621.1092973899999,11
0.01,persistante,500,2026-09-26 11:00:00+00:00,1727,1641,69749.53,-3425.9785173299997,-2183.25341733,11
0.01,persistante,750,2026-09-26 10:00:00+00:00,2009,1880,75162.49,1442.6427170599986,-454.01443294,11
0.01,persistante,750,2026-09-26 11:00:00+00:00,1727,1626,68226.62,-3637.3224202100005,-2103.14607021,11
0.01,persistante,1000,2026-09-26 10:00:00+00:00,2009,1875,75406.81,1802.1875301899997,-539.0087698099999,11
0.01,persistante,1000,2026-09-26 11:00:00+00:00,1727,1607,67889.49,-4433.987463310001,-2255.99406331,11
0.01,persistante,2000,2026-09-26 10:00:00+00:00,2009,1818,71167.16,1123.2976567499989,-1267.7243932499998,11
0.01,persistante,2000,2026-09-26 11:00:00+00:00,1727,1568,66622.07,-4580.282849290001,-2737.9777992900003,11
0.01,persistante,5000,2026-09-26 10:00:00+00:00,2009,1681,68799.65,315.63493714999936,-1193.59706285,11
0.01,persistante,5000,2026-09-26 11:00:00+00:00,1727,1478,63775.82,-3607.8242744200006,-2448.3346244199997,11
0.01,saut,0,2026-09-26 10:00:00+00:00,108,108,2771.98,143.24568587,157.00678586999996,11
0.01,saut,0,2026-09-26 11:00:00+00:00,98,98,2473.6,284.62432865,195.46762864999997,9
0.01,saut,25,2026-09-26 10:00:00+00:00,108,97,2793.16,92.51358333999997,130.48808333999995,11
0.01,saut,25,2026-09-26 11:00:00+00:00,98,86,2414.76,253.82245394,190.66605393999998,9
0.01,saut,50,2026-09-26 10:00:00+00:00,108,96,2715.96,2.206499009999984,126.09989900999996,11
0.01,saut,50,2026-09-26 11:00:00+00:00,98,81,2337.45,263.77827153,188.95792152999996,9
0.01,saut,100,2026-09-26 10:00:00+00:00,108,80,2306.51,2.8191169600000165,68.49486695999997,11
0.01,saut,100,2026-09-26 11:00:00+00:00,98,66,1824.33,300.31040064,102.38755064,9
0.01,saut,150,2026-09-26 10:00:00+00:00,108,72,2070.65,66.67325294000005,69.55080293999995,11
0.01,saut,150,2026-09-26 11:00:00+00:00,98,60,1691.47,166.43260926,65.16635926,9
0.01,saut,200,2026-09-26 10:00:00+00:00,108,61,1814.55,146.26496332999997,19.931813329999972,11
