wallet,n_hours_top10,pnl_in_top10_hours,n_hours_active,pnl_48h,pnl_incl_rebate_48h,volume_48h,markets_per_active_hour,name,pseudonym,taker_share_48h,pnl_outside_top10_hours
0xa7614974faca5be9a1b809c978d0a8fc532a866b,1,2954.155400075907,5,3087.9896301236267,3089.4490375424984,48533.096219876374,1.0,0xA7614974FAca5Be9A1b809c978d0A8FC532a866B-1777736641378,Humongous-Fly,0.19548858900106125,133.83423004771976
0xac2a98a39ed9ed2ebfbc7bc3bb053882edfb207b,1,1266.0418440468418,4,2976.500770939305,2976.500770939305,6999.999996060696,1.5,finrevpol,Bad-Wastebasket-Reject,1.0,1710.458926892463
0xe327cb5bfe38700dfc6f5453035907b3061eca95,1,2905.3970570310953,2,2904.648107031095,2916.660193405044,2036.4859369689048,1.5,DambrosiSearl28,Improbable-Pasta-Mousse,0.2530087198819028,-0.7489500000001499
0x143d5d9aaba4691b2c648238380cbfe41b445dc3,1,2828.5824810024833,1,2828.5824810024833,2838.7921114395303,1610.2130289975164,1.0,PaciusMarkovi,French-Instant-Bit,0.2551997733218154,0.0
0x361528e242bc6cc789ac8da6fd5cb98046178fdf,1,501.66710700668165,48,2706.3275280965827,2712.7695141161994,30037.247650903417,16.145833333333332,ohioism,Lumpy-Pagoda,0.9588856405767562,2204.660421089901
0x04c2b85b8388e6255146b030f1231bcde3ffb374,1,2219.406464904887,30,2558.1388339419527,2558.1388339419527,5951.601335058048,1.4333333333333333,moneyforll,Boring-Line-Photo,1.0,338.73236903706584
0xce06d636db3468feae41ad365599d19f0c8e9b85,1,2448.270043911607,3,2383.1153819104306,2387.3205864476877,3320.421278089569,2.6666666666666665,weg8ef,Impish-Dirndl,0.8999281566383084,-65.15466200117635
0x5bae7577f470244ce8e678d20693eee2b8ffed25,1,2602.2119249953685,29,2315.4035100203596,2315.4035100203596,4293.11438197964,3.0689655172413794,makerabi,Beloved-Pathway-Administration,1.0,-286.8084149750089
0xe3eeb127d5763a6e4ad597f773f9d259c94d5176,1,658.229671984939,48,2288.59636200823,2357.980485393773,53766.61303196656,9.854166666666666,0xe3EeB127d5763a6E4aD597f773F9d259C94d5176-1780742904507,Unwilling-Entirety,0.6683246731314029,1630.3666900232906
0xfc1cc1371716470b3ba6f53a234f737842c1511a,1,580.3396150049543,12,2269.4078019527524,2269.4078019527524,12873.407685047248,8.583333333333334,GAMLL,Rusty-Email-Robotics,1.0,1689.068186947798
0x747abbf12e38ce77ae9ad50e6b234be4f45a766d,1,537.8763879791543,15,2259.0939450687843,2273.2027890365976,39944.13866903377,4.266666666666667,0xNOP,Wiggly-Galley,0.7424759914034036,1721.21755708963
0xee65685de42f8de9a03b4c53ee77d56a20d2cfc9,1,1829.5240859691835,48,2129.4025931155934,2185.523748972472,431892.9569418844,12.9375,0x50f7,Haunting-Cheese,0.1164693165548141,299.8785071464099
0x0100f1a36f952615e6e36e13ebe92d2b9929a303,1,865.4354299329862,24,2071.7133957683236,2088.3390843611783,120228.21935223168,2.3333333333333335,Szgboy,Bleak-Opinion,0.5476978985054679,1206.2779658353375
0x42811a04202d471323a87c33885677187aff1a5a,1,467.3670350026474,46,2037.4871950360837,2047.2993788328763,41035.58373596391,3.152173913043478,traderoffical,Blank-Relation-Leisure,0.9050463234283856,1570.1201600334362
0xd0ab6d24421752c73e44fbdd31f0bc931056ad59,1,1917.2813389716066,1,1917.2813389716066,1925.1864900811531,5863.562372028394,4.0,minger649568,Stormy-Estuary,0.8324885778158214,0.0
0x6ba25c9f2fe6e9e5dd47983b629c00cd59958d0e,1,981.38031,47,1829.1944680458678,1829.1944680458678,1425.0446999541323,4.574468085106383,Vega7,Worse-Rectangle,1.0,847.8141580458678
