group,t_rel_s,n_fills,share_of_group_fills,notional,share_of_group_notional
autres,-40,2069,0.0006003395443860999,22367.491256021633,0.0006306460838692397
autres,-39,2241,0.0006502469400528032,22019.198601097425,0.0006208260554917058
autres,-38,275,7.979380121129891e-05,2872.134924011879,8.097915950607741e-05
autres,-37,2632,0.0007636992174114137,27406.890823145222,0.0007727307533425429
autres,-36,2243,0.0006508272586070672,23867.24754110015,0.0006729313548062931
autres,-35,492,0.00014275836434894207,6288.99329192556,0.00017731666665858365
autres,-34,3063,0.0008887578658553039,27606.740454076276,0.000778365466045312
autres,-33,2551,0.0007401963159637219,23446.79048901083,0.0006610766684536628
autres,-32,469,0.00013608470097490615,3748.582516989749,0.00010569039045734975
autres,-31,3066,0.0008896283436866999,29452.214883102533,0.0008303981776366447
autres,-30,2960,0.0008588714603107084,28903.288530932343,0.0008149213299935027
autres,-29,411,0.00011925546290125038,5454.849710916882,0.0001537981872401032
autres,-28,4027,0.0011684714090105482,35960.2431699872,0.0010138904837632486
autres,-27,4527,0.0013135510475765463,36259.08025404843,0.0010223161241098109
autres,-26,703,0.00020398197182379323,8107.328693048937,0.00022858419982775595
autres,-25,4612,0.001338214586132766,40595.221427204626,0.0011445725908120808
autres,-24,3433,0.0009961167983941425,29570.50070106346,0.0008337332180763833
autres,-23,626,0.00018163970748462954,5393.166332009635,0.00015205903907626047
autres,-22,4915,0.0014261328471037607,47243.81611418758,0.0013320281330804096
autres,-21,3965,0.0011504815338283644,35825.9877570644,0.001010105184400486
autres,-20,1010,0.00029306086990331604,9034.753195994865,0.00025473271260340166
autres,-19,4650,0.0013492406386637816,39352.085707983875,0.0011095226755546655
autres,-18,3920,0.0011374243663574246,37132.94680207682,0.0010469545831140173
autres,-17,847,0.00024576490773080067,8047.7200320033535,0.0002269035478394394
autres,-16,5419,0.0015723731227782866,48601.86141105133,0.0013703178964866473
autres,-15,3935,0.0011417767555144045,39892.425118000225,0.0011247574164107857
autres,-14,724,0.00021007531664356515,5854.875325017422,0.00016507681406920623
autres,-13,3987,0.0011568650379252684,36403.266700031774,0.001026381426582297
autres,-12,4469,0.0012967218095028905,38672.692385045004,0.0010903673427721853
autres,-11,656,0.00019034448579858943,7678.120244892213,0.00021648276994921467
autres,-10,4637,0.0013454685680610657,40868.740915019815,0.0011522844075678438
autres,-9,4054,0.0011763057094931121,39813.04094093189,0.0011225191984624116
autres,-8,841,0.0002440239520680087,7923.3946340139255,0.00022339822288054803
autres,-7,7426,0.002154722791982203,64511.07356796477,0.0018188743407191368
autres,-6,5137,0.0014905482066270637,43467.959440030456,0.0012255687542634998
autres,-5,1217,0.0003531238402696392,11252.295114925024,0.00031725577837693556
autres,-4,5730,0.0016626126579663374,51458.181422926995,0.001450851158315096
autres,-3,5680,0.0016481046941097376,55650.67027619931,0.0015690573821029261
autres,-2,925,0.0002683973313470964,8483.950601004652,0.00023920296474121895
autres,-1,6302,0.0018285837644858392,59728.927494040116,0.0016840428721609747
autres,0,5433,0.0015764353526581346,46331.93653397291,0.0013063179056954813
autres,1,1072,0.0003110507450854998,8126.958126900653,0.00022913764703582506
autres,2,8661,0.002513069499240218,62634.70037806718,0.0017659704459308653
autres,3,13903,0.004034084429966141,101565.81247995439,0.0028636238710158025
autres,4,3610,0.001047474990446506,22945.09931899903,0.0006469316055112758
autres,5,20966,0.00608347940434943,167286.41374198897,0.0047166005567349035
autres,6,16071,0.004663149742788308,125963.1135219052,0.003551499957921305
autres,7,3063,0.0008887578658553039,29036.065460008987,0.0008186649438566725
autres,8,19586,0.005683059601907275,147442.92063302692,0.004157117998936466
autres,9,16515,0.004791980461834915,134438.6719456292,0.003790466307224673
autres,10,2967,0.0008609025752506324,21338.62460602601,0.0006016374339399042
autres,11,17376,0.005041807599445564,147563.0552823968,0.004160505166737044
autres,12,17029,0.004941122330280761,154864.87880766517,0.004366378340380293
autres,13,2879,0.0008353685588630167,25013.103498026376,0.0007052384903559369
autres,14,18529,0.005376361245978755,159182.2976480035,0.004488106935371903
autres,15,15460,0.0044858624244606595,131154.8550588175,0.0036978798729166255
autres,16,2838,0.0008234720285006049,26050.87794607986,0.0007344982935280205
autres,17,15708,0.004557821925189394,120854.89630412581,0.0034074749911929183
autres,18,15038,0.004363415209510957,118935.38687606415,0.0033533548804526815
autres,19,2866,0.0008315964882603008,23888.638803063062,0.0006735344763379623
autres,20,18305,0.005311365567901188,149633.63254224838,0.004218884598982158
autres,21,15413,0.0044722249384354556,135585.53558788745,0.003822801854222035
autres,22,2397,0.0006955117872853945,19601.67576992723,0.0005526645755701918
autres,23,16194,0.004698839333875544,130283.93143628372,0.003673324388995187
autres,24,14820,0.004300160487096182,127961.50227885631,0.003607844052535861
autres,25,2877,0.0008347882403087527,23056.447787840978,0.0006500710490463707
autres,26,15201,0.0044107111716834724,117135.28067011743,0.003302601315095932
