duration,group,bin_start_s,n_fills,share_of_group_fills
15m,top10_heure,595,96,0.006243090329713208
15m,top10_heure,600,79,0.005137543083826494
15m,top10_heure,605,145,0.009429667685504324
15m,top10_heure,610,180,0.011705794368212265
15m,top10_heure,615,103,0.006698315666254796
15m,top10_heure,620,138,0.008974442348962736
15m,top10_heure,625,164,0.010665279313260063
15m,top10_heure,630,96,0.006243090329713208
15m,top10_heure,635,68,0.004422188983546856
15m,top10_heure,640,105,0.006828380048123821
15m,top10_heure,645,104,0.0067633478571893085
15m,top10_heure,650,182,0.01183585875008129
15m,top10_heure,655,107,0.006958444429992846
15m,top10_heure,660,135,0.008779345776159199
15m,top10_heure,665,121,0.007868895103076022
15m,top10_heure,670,96,0.006243090329713208
15m,top10_heure,675,98,0.006373154711582233
15m,top10_heure,680,240,0.01560772582428302
15m,top10_heure,685,98,0.006373154711582233
15m,top10_heure,690,124,0.00806399167587956
15m,top10_heure,695,93,0.00604799375690967
15m,top10_heure,700,98,0.006373154711582233
15m,top10_heure,705,118,0.007673798530272485
15m,top10_heure,710,95,0.006178058138778695
15m,top10_heure,715,101,0.006568251284385771
15m,top10_heure,720,77,0.005007478701957469
15m,top10_heure,725,135,0.008779345776159199
15m,top10_heure,730,94,0.006113025947844183
15m,top10_heure,735,93,0.00604799375690967
15m,top10_heure,740,158,0.010275086167652988
15m,top10_heure,745,99,0.006438186902516746
15m,top10_heure,750,111,0.007218573193730897
15m,top10_heure,755,74,0.004812382129153931
15m,top10_heure,760,83,0.005397671847564544
15m,top10_heure,765,87,0.005657800611302595
15m,top10_heure,770,91,0.005917929375040645
15m,top10_heure,775,100,0.006503219093451258
15m,top10_heure,780,77,0.005007478701957469
15m,top10_heure,785,122,0.007933927294010535
15m,top10_heure,790,94,0.006113025947844183
15m,top10_heure,795,72,0.004682317747284906
15m,top10_heure,800,156,0.010145021785783963
15m,top10_heure,805,154,0.010014957403914938
15m,top10_heure,810,219,0.014242049814658255
15m,top10_heure,815,137,0.008909410158028224
15m,top10_heure,820,83,0.005397671847564544
15m,top10_heure,825,113,0.007348637575599922
15m,top10_heure,830,115,0.007478701957468947
15m,top10_heure,835,74,0.004812382129153931
15m,top10_heure,840,99,0.006438186902516746
15m,top10_heure,845,83,0.005397671847564544
15m,top10_heure,850,73,0.0047473499382194185
15m,top10_heure,855,94,0.006113025947844183
15m,top10_heure,860,38,0.002471223255511478
15m,top10_heure,865,69,0.004487221174481368
15m,top10_heure,870,45,0.002926448592053066
15m,top10_heure,875,64,0.004162060219808805
15m,top10_heure,880,33,0.002146062300838915
15m,top10_heure,885,47,0.0030565129739220914
15m,top10_heure,890,12,0.000780386291214151
15m,top10_heure,895,7,0.0004552253365415881
15m,autres,-60,256,0.00048263822117650606
15m,autres,-55,740,0.001395126108088338
15m,autres,-50,432,0.000814451998235354
15m,autres,-45,566,0.0010670829421324313
15m,autres,-40,583,0.0010991331365074338
15m,autres,-35,295,0.0005561651376838644
15m,autres,-30,359,0.000676824692977991
15m,autres,-25,675,0.0012725812472427407
15m,autres,-20,1019,0.0019211263569486707
15m,autres,-15,1212,0.002284990328382521
15m,autres,-10,1557,0.0029354207436399216
15m,autres,-5,1486,0.0028015640494855
15m,autres,0,3000,0.00565591665441218
15m,autres,5,7171,0.013519526109596582
15m,autres,10,4472,0.008431086426177091
15m,autres,15,3148,0.0059349418760298485
15m,autres,20,3825,0.007211293734375531
15m,autres,25,2394,0.00451342149022092
15m,autres,30,2417,0.004556783517904747
15m,autres,35,3332,0.006281838097500462
15m,autres,40,2434,0.0045888337122797496
15m,autres,45,2082,0.003925206158162053
15m,autres,50,2599,0.004899909128272419
15m,autres,55,2330,0.004392761934926793
15m,autres,60,2514,0.004739658156397407
15m,autres,65,4110,0.007748605816544687
15m,autres,70,2683,0.00505827479459596
15m,autres,75,2531,0.00477170835077241
15m,autres,80,2828,0.005331644099559216
15m,autres,85,2185,0.004119392629963538
