cellule,stratégie,coupure,n,accuracy,ic95_bas,ic95_haut,ic95_cluster_bas,ic95_cluster_haut,p_binom,part_up_prédit,description,auc_variable,part_variable_nulle
SOL 15m,market_pre,S−30s (marché),672,0.5461309523809523,0.5083318807744903,0.5834055914379332,0.508487875597228,0.5837740291646767,0.018549955695349375,0.5401785714285714,"prix du marché à S−30 s > 0,5 → Up (égalité → Up)",0.5598188920454545,
SOL 15m,mom5_m60:momentum,S−60s (1m),672,0.5119047619047619,0.47415099447305353,0.549523191904346,0.47411115819353206,0.5496983656159916,0.562866072605184,0.4851190476190476,"momentum — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.5103959517045454,0.020833333333333332
SOL 15m,mom5_m60:retournement,S−60s (1m),672,0.5,0.46230327550962264,0.5376967244903773,0.4621956792592875,0.5378043207407125,1.0,0.5357142857142857,"retournement — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.48960404829545456,0.020833333333333332
SOL 15m,mom15_m60:momentum,S−60s (1m),672,0.48660714285714285,0.44899999442211525,0.5243665459033102,0.44881638636773574,0.52439789934655,0.5119896824901984,0.5252976190476191,"momentum — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.4790971235795454,0.00744047619047619
SOL 15m,mom15_m60:retournement,S−60s (1m),672,0.5148809523809523,0.47711624608531994,0.5524764868864297,0.47709337833451726,0.5526685264273874,0.46362024493160553,0.48214285714285715,"retournement — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.5209028764204545,0.00744047619047619
SOL 15m,mom5_m30:momentum,S−30s (1s),672,0.5178571428571429,0.480082827500411,0.5554284520656887,0.48007693970787435,0.5556373460064115,0.37496013188203664,0.4791666666666667,"momentum — rendement des 5 dernières min, prix 1s à S−30 s",0.5143243963068181,0.03125
SOL 15m,mom5_m30:retournement,S−30s (1s),672,0.48660714285714285,0.44899999442211525,0.5243665459033102,0.4488163863677357,0.52439789934655,0.5119896824901984,0.5520833333333334,"retournement — rendement des 5 dernières min, prix 1s à S−30 s",0.48567560369318186,0.03125
SOL 15m,mom15_m30:momentum,S−30s (1s),672,0.5029761904761905,0.4652632128299684,0.5406553337643815,0.4651725394608111,0.5407798414915698,0.9078797469043397,0.5267857142857143,"momentum — rendement des 15 dernières min, prix 1s à S−30 s",0.484619140625,0.019345238095238096
SOL 15m,mom15_m30:retournement,S−30s (1s),672,0.5014880952380952,0.4637830781629063,0.5391761951342687,0.4636839419276037,0.5392922485485868,0.969232383257447,0.49255952380952384,"retournement — rendement des 15 dernières min, prix 1s à S−30 s",0.515380859375,0.019345238095238096
SOL 15m,gap_m30:momentum,S−30s (1s),672,0.5133928571428571,0.4756334540966898,0.5510000055778848,0.47560210065345,0.5511836136322642,0.5119896824901984,0.5044642857142857,"momentum — prix à S−30 s − moyenne 1s sur (S−60, S−30] (TWAP partiel)",0.5051580255681818,0.0
SOL 15m,gap_m30:retournement,S−30s (1s),672,0.48660714285714285,0.44899999442211525,0.5243665459033102,0.44881638636773574,0.52439789934655,0.5119896824901984,0.4955357142857143,"retournement — prix à S−30 s − moyenne 1s sur (S−60, S−30] (TWAP partiel)",0.4948419744318182,0.0
SOL 15m,mom5_m0:momentum,S (1m) *,672,0.5148809523809523,0.47711624608531994,0.5524764868864297,0.47709337833451726,0.5526685264273874,0.46362024493160553,0.5238095238095238,"momentum — rendement des 5 dernières min, bougies 1m closes à S",0.5298384232954545,0.025297619047619048
SOL 15m,mom5_m0:retournement,S (1m) *,672,0.4895833333333333,0.45195395405950156,0.5273311328602738,0.4517872175456725,0.5273794491209941,0.616062054974651,0.5014880952380952,"retournement — rendement des 5 dernières min, bougies 1m closes à S",0.4701615767045455,0.025297619047619048
SOL 15m,mom15_m0:momentum,S (1m) *,672,0.5089285714285714,0.47118707203083227,0.5465685677522173,0.47113027864305,0.5467268642140928,0.6713536366495828,0.5416666666666666,"momentum — rendement des 15 dernières min, bougies 1m closes à S",0.4934525923295454,0.01488095238095238
SOL 15m,mom15_m0:retournement,S (1m) *,672,0.49107142857142855,0.4534314322477826,0.5288129279691677,0.4532731357859071,0.52886972135695,0.6713536366495828,0.4732142857142857,"retournement — rendement des 15 dernières min, bougies 1m closes à S",0.5065474076704546,0.01488095238095238
SOL 15m,gap_m0_1m:momentum,S (1m) *,672,0.49404761904761907,0.45638738507814114,0.5317755217331592,0.45624597727943167,0.5318492608158065,0.7871604486813253,0.5297619047619048,"momentum — close 1m − VWAP 1m de la bougie [S−1m, S)",0.5184303977272727,0.0
SOL 15m,gap_m0_1m:retournement,S (1m) *,672,0.5059523809523809,0.4682244782668408,0.5436126149218589,0.46815073918419353,0.5437540227205684,0.7871604486813253,0.47023809523809523,"retournement — close 1m − VWAP 1m de la bougie [S−1m, S)",0.48156960227272727,0.0
SOL 15m,gap_m0_1s:momentum,S (1s) *,672,0.49255952380952384,0.4549092426034228,0.5302943909107025,0.45475938904681823,0.5303596585722294,0.7284827029118984,0.5223214285714286,momentum — spot(S) − TWAP60(S) Binance (écart spot − TWAP),0.521297940340909,0.001488095238095238
SOL 15m,gap_m0_1s:retournement,S (1s) *,672,0.5059523809523809,0.4682244782668408,0.5436126149218589,0.46815073918419353,0.5437540227205684,0.7871604486813253,0.4791666666666667,retournement — spot(S) − TWAP60(S) Binance (écart spot − TWAP),0.4787020596590908,0.001488095238095238
Tous 5m,always_up,—,6047,0.5083512485530015,0.4957492218307847,0.52094267107879,0.4895350285983334,0.5271674685076696,0.19845033835193993,1.0,toujours Up,,
Tous 5m,always_down,—,6047,0.4916487514469985,0.47905732892120984,0.5042507781692152,0.4728325314923304,0.5104649714016666,0.19845033835193993,0.0,toujours Down,,
