half,model,label,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,pnl_per_placed_ic_lo_adj,pnl_per_placed_ic_hi_adj,adverse_selection_ic_lo,adverse_selection_ic_hi,strategy,config,duration
2e moitié,hgb_m0,0.48/S+60,3787,3787,437,0.7031951412727753,0.9680811115283515,0.03191888847164852,33.0,43.0,3787,-1.5114866649062568,-2.1494555013143053,0.34941603957165124,-5724.0,0.4585054449868569,0.702846975088968,-24.43415301021111,0.6863893965385406,0.7197575438028271,-2.935773836430783,0.03680884026046271,-4.160884026803992,0.05356927056508042,-3.791382867642669,0.7394131754803374,-28.035406821565136,-20.85288917939304,signal,,
2e moitié,hgb_m0,0.49/S+60,3356,3356,868,0.7303337306317044,0.8947368421052632,0.10526315789473684,30.0,41.0,3356,-1.2213945172824792,-1.6723786209710323,0.3498339358174857,-4099.0,0.47327621379028967,0.7071823204419889,-23.390610665169927,0.7124614535232054,0.7471412114916205,-2.716998158114688,0.36514914151049244,-3.7109740025876934,0.5029714092287026,-3.7108138679358564,1.2665160586960116,-27.082051251267508,-19.63960393196297,signal,,
2e moitié,hgb_m0,0.50/S+60,2324,2324,1900,0.7530120481927711,0.7914285714285715,0.20857142857142857,28.0,40.0,2324,-0.5593803786574871,-0.7428571428571429,0.34996348064291855,-1300.0,0.49257142857142855,0.6881533101045296,-19.55818815331011,0.7327373057899014,0.7735853086489406,-2.4355819338545786,1.39509706579448,-3.241723981277942,1.8879409094479118,-3.525643076907861,2.3725380078216536,-24.43100418449968,-14.865636450528187,signal,,
2e moitié,hgb_m2,0.47/S+60,2984,2984,113,0.6511394101876675,0.9845599588265569,0.01544004117344313,34.0,48.0,2984,-1.481568364611258,-2.2753474009263983,0.3487072265553562,-4421.0,0.447246525990736,0.6993275696445725,-25.208104365383655,0.6320654491456561,0.669821449071046,-2.976773725530007,0.07144714279540769,-4.577453175399271,0.1095952322978756,-4.227875866893011,1.2430182327251305,-29.08672141273568,-21.560829706060247,signal,,
2e moitié,hgb_m2,0.48/S+60,2884,2884,213,0.6789181692094314,0.9703779366700716,0.0296220633299285,34.0,46.0,2884,-1.624133148404992,-2.392236976506638,0.3494074123489822,-4684.0,0.4560776302349336,0.7095032397408207,-25.342560950588716,0.6595125566162233,0.6972028652281571,-3.199947969635723,0.019620098682849633,-4.716789285630517,0.02956755199668283,-4.5280443899187945,0.87450047512264,-29.34904371491719,-21.565185592396332,signal,,
2e moitié,hgb_m2,0.49/S+60,2616,2616,481,0.709480122324159,0.8960129310344828,0.10398706896551724,33.0,43.0,2616,-1.2400611620795108,-1.7478448275862084,0.34982558011242293,-3244.0,0.47252155172413796,0.7078947368421052,-23.53731851179673,0.6902518339191687,0.7284525116932326,-2.8642470179224095,0.47762930688524863,-4.053326025876329,0.672193378613847,-4.301738583078575,1.5509891121269153,-27.535319920790343,-19.424736199916126,signal,,
2e moitié,hgb_m2,0.50/S+60,1927,1927,1170,0.7400103788271926,0.788218793828892,0.211781206171108,30.0,42.0,1927,-0.5708354955889984,-0.7713884992987377,0.349955183117186,-1100.0,0.49228611500701264,0.6846307385229541,-19.234462351594146,0.717604905232474,0.761612376889971,-2.6144861822335583,1.6031898858272624,-3.554212058894473,2.165331194961684,-3.7853811409953115,2.688174760911347,-24.58995574109975,-13.953483529908763,signal,,
2e moitié,hgb_m5,0.47/S+60,1576,1576,44,0.623730964467005,0.9857578840284842,0.014242115971515769,36.0,50.0,1576,-1.2696700507614194,-2.035605289928785,0.34867521993596834,-2001.0,0.4496439471007121,0.7217537942664418,-27.210984716572973,0.5964780359718715,0.6495240231259968,-3.3588187791347894,0.8326249210711867,-5.358670407606578,1.333542713567838,-4.328103502350729,2.1678233063577976,-32.14316675742577,-22.212646009997467,signal,,
2e moitié,hgb_m5,0.48/S+60,1541,1541,79,0.6515249837767684,0.9721115537848606,0.027888446215139442,34.0,48.0,1541,-1.552238805970148,-2.3824701195219107,0.34937644758895137,-2392.0,0.45617529880478086,0.7337057728119181,-27.753047400713722,0.6250802969187564,0.6769441195036853,-3.6919391811108397,0.6580888497802595,-5.637607356542015,1.0218270603371091,-4.7488722752308945,2.2890850292479668,-32.666537973572474,-22.718954554749406,signal,,
2e moitié,hgb_m5,0.49/S+60,1433,1433,187,0.6810886252616888,0.8842213114754098,0.11577868852459017,34.0,45.25,1433,-0.4354501046755055,-0.6393442622950826,0.3497945457875585,-624.0,0.48360655737704916,0.7330415754923414,-24.943501811529224,0.6530408526427381,0.7070717636617219,-2.669163593069438,1.952081863091037,-3.9339857830023988,2.8806418701621257,-4.005199114922185,3.5269228315093852,-30.18925499682653,-19.567139329513797,signal,,
