slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-5m-1789116900,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789116840.0,1789116900.0,100.0,False,True,True,1789116865.0,25.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789116900,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789116840.0,1789116900.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789117200,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789117140.0,1789117200.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789117200,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789117140.0,1789117200.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789117500,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789117440.0,1789117500.0,100.0,False,True,True,1789117468.0,28.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789117500,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789117440.0,1789117500.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789117800,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789117740.0,1789117800.0,100.0,False,True,True,1789117780.0,40.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789117800,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789117740.0,1789117800.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789118100,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789118040.0,1789118100.0,100.0,False,True,True,1789118065.0,25.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789118100,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789118040.0,1789118100.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789118400,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789118340.0,1789118400.0,100.0,False,True,True,1789118368.0,28.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789118400,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789118340.0,1789118400.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789118700,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789118640.0,1789118700.0,100.0,False,True,True,1789118658.0,18.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789118700,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789118640.0,1789118700.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789119000,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789118940.0,1789119000.0,100.0,False,True,True,1789118955.0,15.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
